# li_ion_capacity PV_power SOFC_power SOEC_power battery_power load SoCH2 EMS_State net_power energy_deficit energy_loss
0.681040 0.000000 300.000000 0.000000 0.000000 52.547959 0.843487 4.000000 -52.547959 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 54.569026 0.839362 4.000000 -54.569026 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 64.674358 0.835238 4.000000 -64.674358 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 59.621692 0.831113 4.000000 -59.621692 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 45.474226 0.826988 4.000000 -45.474226 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 58.611159 0.822863 4.000000 -58.611159 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 50.526893 0.818738 4.000000 -50.526893 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 59.621692 0.814613 4.000000 -59.621692 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 0.000000 221.307488 0.810488 4.000000 -221.307488 0.000000 0.000000
0.681040 0.000000 300.000000 0.000000 400.172380 400.172380 0.806363 5.000000 -400.172380 0.000000 0.000000
0.649776 0.000000 300.000000 0.000000 619.458725 619.458725 0.802239 5.000000 -619.458725 0.000000 0.000000
0.601381 0.000000 300.000000 0.000000 259.707859 259.707859 0.798114 5.000000 -259.707859 0.000000 0.000000
0.581091 0.000000 300.000000 0.000000 332.466468 332.466468 0.793989 5.000000 -332.466468 0.000000 0.000000
0.555118 0.000000 300.000000 0.000000 441.604320 441.604320 0.789864 5.000000 -441.604320 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 189.980865 0.785739 4.000000 -189.980865 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 218.275873 0.781614 4.000000 -218.275873 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 213.223206 0.777489 4.000000 -213.223206 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 215.244258 0.773365 4.000000 -215.244258 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 109.137868 0.769240 4.000000 -109.137868 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 87.916623 0.765115 4.000000 -87.916623 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 92.969289 0.760990 4.000000 -92.969289 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 60.632225 0.756865 4.000000 -60.632225 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 74.779691 0.752740 4.000000 -74.779691 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 81.853424 0.748615 4.000000 -81.853424 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 70.737558 0.744491 4.000000 -70.737558 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 65.610620 0.740366 4.000000 -65.610620 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 65.610647 0.736241 4.000000 -65.610647 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 65.610620 0.732116 4.000000 -65.610620 0.000000 0.000000
0.520617 0.000000 300.000000 0.000000 0.000000 77.858011 0.727991 4.000000 -77.858011 0.000000 0.000000
